macro			string		desc
EV_SYS			"sys"		"Enable sys Event"
EV_RT_SYS		"rt_sys"	"Enable Rtos Sys Event"
EV_TICK			"tick"		"Enable tick Event"
EV_IRQ			"irq"		"Enable irq Event"
EV_MEM			"mem"		"Enable mem Event"
EV_SCHE			"sche"		"Enable sche Event"
EV_RT_TMR		"rt-timer"	"Enable rtos timer Event"
EV_MUTEX		"mutex"		"Enable mutex Event"
EV_SPIN			"spin"		"Enable spinlock Event"
EV_SEM			"sem"		"Enable sem Event"
EV_RT_NOTIFY	"notify"	"Enable RTOS notify Event"
EV_QUEUE		"queue"		"Enable queue Event"
EV_RT_QUEUE		"rt_queue"	"Enable rtos queue Event"
EV_FS			"fs"		"Enable fs Event"
EV_FATFS		"fatfs"		"Enable fatfs Event"
EV_NTFS			"ntfs"		"Enable ntfs Event"
EV_OPENAMP		"amp"		"Enable openamp Event"
EV_SUNXIAMP		"amp"		"Enable sunxi-amp Event"
EV_USR0			"usr0"		"Enable user0 Event"
EV_RPD			"rpd"		"Enable rpdata event"
